collection,test_name,solver,k,n,cost_mean,cost_stdev,cost_best_known,cost_relative_gap,cost_pre_rounded,norm_diff_best_prerounded,norm_diff_best_rounded,norm_diff_prerounded_rounded,time_mean,time_stdev,iters_best_mean,iters_min_of_k_mean,iters_mean_of_k_mean,max_iters_reached(1e5),birkhoff_infeasibility
qaplib,nug30,sfw,1,1,,,6124,0.012410189418680601,6159.189050464047,,,,0.022602558135986328,0.0,101.0,101.0,101.0,False,0.0
qaplib,nug30,tos-bp-project,1,1,,,6124,0.011757021554539516,6170.021581891371,,,,0.5632154941558838,0.0,7478.0,7478.0,7478.0,False,8.305116133573103e-18
qaplib,esc16b,sfw,1,1,,,292,0.0,268.6713556151185,,,,0.09646773338317871,0.0,885.0,885.0,885.0,False,0.0
qaplib,esc16b,tos-bp-project,1,1,,,292,0.00684931506849315,268.57029222518645,,,,0.16000795364379883,0.0,2488.0,2488.0,2488.0,False,1.0351983519901019e-17
qaplib,nug12,sfw,1,1,,,578,0.02768166089965398,583.0838764652739,,,,0.03787088394165039,0.0,397.0,397.0,397.0,False,0.0
qaplib,nug12,tos-bp-project,1,1,,,578,0.01384083044982699,574.2765958981947,,,,0.3928377628326416,0.0,7223.0,7223.0,7223.0,False,6.940888706855757e-18
qaplib,sko72,sfw,1,1,,,66256,0.0034713837237382275,66430.81668500528,,,,0.10763716697692871,0.0,48.0,48.0,48.0,False,0.0
qaplib,sko72,tos-bp-project,1,1,,,66256,0.00845206471866699,66922.88167465826,,,,2.2851004600524902,0.0,5795.0,5795.0,5795.0,False,1.1423097306198795e-17
qaplib,had12,sfw,1,1,,,1652,0.015738498789346248,1603.0994184791434,,,,0.07619881629943848,0.0,437.0,437.0,437.0,False,0.0
qaplib,had12,tos-bp-project,1,1,,,1652,0.01937046004842615,1602.661888411405,,,,0.09494709968566895,0.0,1293.0,1293.0,1293.0,False,9.376438192227609e-18
qaplib,tho30,sfw,1,1,,,149936,0.003935012271902678,149805.7311007212,,,,0.027476787567138672,0.0,137.0,137.0,137.0,False,0.0
qaplib,tho30,tos-bp-project,1,1,,,149936,0.026211183438266995,153493.25937816923,,,,0.3076024055480957,0.0,3754.0,3754.0,3754.0,False,6.245043863020938e-18
qaplib,nug25,sfw,1,1,,,3744,0.012286324786324786,3740.583327864574,,,,0.02991032600402832,0.0,170.0,170.0,170.0,False,0.0
qaplib,nug25,tos-bp-project,1,1,,,3744,0.003205128205128205,3735.758643701508,,,,0.24638772010803223,0.0,3338.0,3338.0,3338.0,False,6.120278006490679e-18
qaplib,esc64a,sfw,1,1,,,116,0.017241379310344827,106.5985525111585,,,,0.34248805046081543,0.0,830.0,830.0,830.0,False,0.0
qaplib,esc64a,tos-bp-project,1,1,,,116,0.0,107.84247941173348,,,,0.584190845489502,0.0,3133.0,3133.0,3133.0,False,6.139314922195366e-17
qaplib,chr12a,sfw,1,1,,,9552,0.3888190954773869,10501.592217534482,,,,0.224806547164917,0.0,2693.0,2693.0,2693.0,False,0.0
qaplib,chr12a,tos-bp-project,1,1,,,9552,0.8900753768844221,13877.785288786894,,,,0.19005227088928223,0.0,2987.0,2987.0,2987.0,False,0.0
qaplib,esc32e,sfw,1,1,,,2,5.0,3.3574964353333367,,,,3.4193267822265625,0.0,24468.0,24468.0,24468.0,False,0.0
qaplib,esc32e,tos-bp-project,1,1,,,2,0.0,2.0040775857035262,,,,0.16868090629577637,0.0,1725.0,1725.0,1725.0,False,1.3472981302851064e-17
qaplib,tai100a,sfw,1,1,,,21044752,0.018628777378797336,21381700.628370874,,,,0.14260101318359375,0.0,77.0,77.0,77.0,False,0.0
qaplib,tai100a,tos-bp-project,1,1,,,21044752,0.036123685372961394,21760220.50605467,,,,5.84845757484436,0.0,9714.0,9714.0,9714.0,False,5.889905026310303e-13
qaplib,tai35b,sfw,1,1,,,283315445,0.6198980045016607,412511703.6139431,,,,0.0018777847290039062,0.0,3.0,3.0,3.0,False,0.0
qaplib,tai35b,tos-bp-project,1,1,,,283315445,0.20557652266363383,362549313.4696288,,,,8.2161226272583,0.0,100000.0,100000.0,100000.0,True,0.0
qaplib,nug20,sfw,1,1,,,2570,0.014785992217898832,2574.015852330453,,,,0.03128194808959961,0.0,260.0,260.0,260.0,False,0.0
qaplib,nug20,tos-bp-project,1,1,,,2570,0.014007782101167316,2574.924780843353,,,,0.13353443145751953,0.0,1777.0,1777.0,1777.0,False,5.001842777616456e-18
qaplib,had20,sfw,1,1,,,6922,0.008956948858711355,6846.308484535142,,,,0.032068490982055664,0.0,239.0,239.0,239.0,False,0.0
qaplib,had20,tos-bp-project,1,1,,,6922,0.008956948858711355,6847.8872762640585,,,,0.24240851402282715,0.0,3217.0,3217.0,3217.0,False,0.0
qaplib,lipa20a,sfw,1,1,,,3683,0.04507195221286994,3692.9498728763188,,,,0.011265754699707031,0.0,59.0,59.0,59.0,False,0.0
qaplib,lipa20a,tos-bp-project,1,1,,,3683,0.03937007874015748,3684.472056983033,,,,0.46086764335632324,0.0,5990.0,5990.0,5990.0,False,6.256993542651724e-18
qaplib,ste36a,sfw,1,1,,,9526,0.05206802435439849,9703.302926202221,,,,0.09595012664794922,0.0,470.0,470.0,470.0,False,0.0
qaplib,ste36a,tos-bp-project,1,1,,,9526,0.050388410665546925,9733.186387481532,,,,0.4764420986175537,0.0,4993.0,4993.0,4993.0,False,0.0
qaplib,nug24,sfw,1,1,,,3488,0.013761467889908258,3504.264092172512,,,,0.03294038772583008,0.0,116.0,116.0,116.0,False,0.0
qaplib,nug24,tos-bp-project,1,1,,,3488,0.022935779816513763,3524.894712330973,,,,0.25658488273620605,0.0,3319.0,3319.0,3319.0,False,5.3662874775061335e-17
qaplib,rou20,sfw,1,1,,,725522,0.028148009295376294,728686.0660154992,,,,0.037017107009887695,0.0,350.0,350.0,350.0,False,0.0
qaplib,rou20,tos-bp-project,1,1,,,725522,0.03145045911771111,738853.1828292259,,,,0.20897221565246582,0.0,3136.0,3136.0,3136.0,False,5.263577459854498e-18
qaplib,lipa40b,sfw,1,1,,,476581,0.0,476581.0,,,,0.010622262954711914,0.0,43.0,43.0,43.0,False,0.0
qaplib,lipa40b,tos-bp-project,1,1,,,476581,0.0,476731.40112303663,,,,0.16152453422546387,0.0,1262.0,1262.0,1262.0,False,5.488819918928779e-19
qaplib,bur26f,sfw,1,1,,,3782044,0.04516684628735149,3930698.5952108884,,,,0.0015721321105957031,0.0,4.0,4.0,4.0,False,0.0
qaplib,bur26f,tos-bp-project,1,1,,,3782044,0.04668057801548581,3922896.925354846,,,,1.0717055797576904,0.0,14507.0,14507.0,14507.0,False,9.793846249587375e-18
qaplib,bur26g,sfw,1,1,,,10117172,0.04460623976739745,10568461.0,,,,0.0006346702575683594,0.0,3.0,3.0,3.0,False,0.0
qaplib,bur26g,tos-bp-project,1,1,,,10117172,0.051233091618883224,10622741.31059023,,,,1.9439959526062012,0.0,29250.0,29250.0,29250.0,False,2.5967912133553794e-18
qaplib,lipa60a,sfw,1,1,,,107218,0.016713611520453656,107722.01913976858,,,,0.029488563537597656,0.0,39.0,39.0,39.0,False,0.0
qaplib,lipa60a,tos-bp-project,1,1,,,107218,0.020089910276259584,107552.97926047287,,,,14.411757946014404,0.0,100000.0,100000.0,100000.0,True,0.0
qaplib,chr18a,sfw,1,1,,,11098,0.5725355919985583,15512.645941869549,,,,0.14733409881591797,0.0,1549.0,1549.0,1549.0,False,0.0
qaplib,chr18a,tos-bp-project,1,1,,,11098,0.6548927734726978,14861.389618056553,,,,0.2529757022857666,0.0,3980.0,3980.0,3980.0,False,0.0
qaplib,esc16d,sfw,1,1,,,16,0.0,12.771784376359403,,,,0.18807268142700195,0.0,2049.0,2049.0,2049.0,False,0.0
qaplib,esc16d,tos-bp-project,1,1,,,16,0.0,12.590159258453735,,,,0.13237810134887695,0.0,1915.0,1915.0,1915.0,False,9.981615175227831e-18
qaplib,chr22b,sfw,1,1,,,6194,0.21859864384888603,6082.463147818077,,,,0.33139896392822266,0.0,2916.0,2916.0,2916.0,False,0.0
qaplib,chr22b,tos-bp-project,1,1,,,6194,0.20213109460768486,5420.8541870253675,,,,0.2684051990509033,0.0,3933.0,3933.0,3933.0,False,0.0
qaplib,tho150,sfw,1,1,,,8133398,0.010787127348249772,8215058.789242821,,,,0.7347044944763184,0.0,55.0,55.0,55.0,False,0.0
qaplib,tho150,tos-bp-project,1,1,,,8133398,0.012090641574407155,8276614.5359279085,,,,9.434206485748291,0.0,6686.0,6686.0,6686.0,False,3.1981959682318654e-18
qaplib,tai17a,sfw,1,1,,,491812,0.04233324929037925,503325.512011239,,,,0.10174298286437988,0.0,604.0,604.0,604.0,False,0.0
qaplib,tai17a,tos-bp-project,1,1,,,491812,0.03678641432091938,498965.55556710565,,,,0.2863595485687256,0.0,4561.0,4561.0,4561.0,False,5.463996538301753e-18
qaplib,nug28,sfw,1,1,,,5166,0.03445605884630275,5296.89476914672,,,,0.041010379791259766,0.0,229.0,229.0,229.0,False,0.0
qaplib,nug28,tos-bp-project,1,1,,,5166,0.04336043360433604,5178.369461892255,,,,0.2803680896759033,0.0,3570.0,3570.0,3570.0,False,1.0306214925503511e-17
qaplib,sko100c,sfw,1,1,,,147862,0.012254669894902002,149284.1041553967,,,,0.32993268966674805,0.0,42.0,42.0,42.0,False,0.0
qaplib,sko100c,tos-bp-project,1,1,,,147862,0.006641327724499871,149374.17223819045,,,,3.8438117504119873,0.0,5803.0,5803.0,5803.0,False,5.674126301706901e-18
qaplib,tai30b,sfw,1,1,,,637117113,0.7467061177495008,1086828349.40828,,,,0.00974416732788086,0.0,7.0,7.0,7.0,False,0.0
qaplib,tai30b,tos-bp-project,1,1,,,637117113,0.3239697816749744,893463257.4824262,,,,7.236513137817383,0.0,100000.0,100000.0,100000.0,True,5.287686208941265e-18
