collection,test_name,solver,k,n,cost_mean,cost_stdev,time_mean,time_stdev
qaplib,tai12a,sfw,1,10,241142.6,9738.50021512553,0.05481400489807129,0.022782077969001294
qaplib,tai12a,tos,1,10,231124.0,7202.5704855974855,0.16710202693939208,0.0824067114795807
qaplib,chr15b,sfw,1,10,14081.6,2684.8475263969835,0.04833133220672607,0.02302233930275922
qaplib,chr15b,tos,1,10,11795.8,1438.998387768381,0.24317855834960939,0.05447124630380605
qaplib,nug17,sfw,1,10,1759.8,19.584687896415403,0.03275797367095947,0.004751661006147259
qaplib,nug17,tos,1,10,1749.8,14.76346842716846,0.3617788076400757,0.11259476417339673
qaplib,tai30b,sfw,1,10,1049322693.4,89068413.97131252,0.0015242815017700196,0.000483860694548942
qaplib,tai30b,tos,1,10,856210249.3,22367486.80581739,1.439664649963379,0.01632072115611023
qaplib,rou20,sfw,1,10,747937.8,8189.941950954232,0.03439948558807373,0.006221813150134412
qaplib,rou20,tos,1,10,744687.8,7140.070332986924,0.3885697603225708,0.1304961167522969
qaplib,chr25a,sfw,1,10,6452.8,481.1396470880362,0.09598433971405029,0.026450273513548797
qaplib,chr25a,tos,1,10,5897.0,477.3009532779083,0.5181543111801148,0.1649783485467064
qaplib,tai256c,sfw,1,10,45179565.8,66364.51287518052,0.48158280849456786,0.04057280705766494
qaplib,tai256c,tos,1,10,45146338.6,59908.74405660663,4.9159610033035275,1.5799079739450348
qaplib,scr12,sfw,1,10,36449.4,3185.90785177475,0.14061615467071534,0.02926097352119469
qaplib,scr12,tos,1,10,36251.2,1268.4655927537017,0.2982567071914673,0.12625080720468204
qaplib,lipa80b,sfw,1,10,9179696.0,472405.2491082206,0.11624972820281983,0.07601496370150325
qaplib,lipa80b,tos,1,10,7933044.4,507247.2,1.869828200340271,0.7130442507159306
qaplib,sko100b,sfw,1,10,155247.8,610.3320080087559,0.14182629585266113,0.039231229647330834
qaplib,sko100b,tos,1,10,155966.6,665.2223989012998,3.610608696937561,0.2427065600432803
qaplib,tai15a,sfw,1,10,403376.2,6340.17762842651,0.05062272548675537,0.012241152167357673
qaplib,tai15a,tos,1,10,396623.2,3902.7044161709196,0.33917529582977296,0.09931965531488143
qaplib,chr20b,sfw,1,10,3546.0,644.493599657902,0.09074640274047852,0.050851193851134416
qaplib,chr20b,tos,1,10,3265.6,431.3762163123971,0.36873250007629393,0.11613368127110574
qaplib,chr18a,sfw,1,10,18251.8,2516.5901454150217,0.05103168487548828,0.02951487591044581
qaplib,chr18a,tos,1,10,17473.6,2810.7237217485467,0.3431298017501831,0.09676154370895969
qaplib,tai17a,sfw,1,10,514778.6,5074.870957965336,0.04990251064300537,0.008318064971787104
qaplib,tai17a,tos,1,10,509489.2,5630.464719718969,0.2354332447052002,0.07907828295877287
qaplib,sko81,sfw,1,10,91941.0,205.3548148936372,0.08777670860290528,0.031815804446752305
qaplib,sko81,tos,1,10,92468.6,556.9201379012974,2.504960823059082,0.15417994262221354
qaplib,tai40b,sfw,1,10,937944030.9,49764066.475498736,0.0023155689239501955,0.0008942181387654755
qaplib,tai40b,tos,1,10,886737184.4,37837724.472026214,1.6512151956558228,0.014554347631691862
qaplib,esc16i,sfw,1,10,14.8,1.32664991614216,0.06346666812896729,0.047080833979677494
qaplib,esc16i,tos,1,10,14.2,0.6,0.07891333103179932,0.031004639459822875
qaplib,esc32b,sfw,1,10,189.6,8.97997772825746,0.0143538236618042,0.014479934439138928
