collection,test_name,solver,k,n,stop_tol,cost_mean,cost_stdev,cost_best_known,cost_relative_gap,cost_pre_rounded,norm_diff_best_prerounded,norm_diff_best_rounded,norm_diff_prerounded_rounded,time_mean,time_stdev,iters_best_mean,iters_min_of_k_mean,iters_mean_of_k_mean,max_iters_reached(1e5),birkhoff_infeasibility
qaplib,nug12,tos,1,3,0.0001,591.3333333333334,1.8856180831641267,578,0.023068050749711716,574.2028890317669,4.411259807512032,4.829458243652048,1.3551611143657203,0.19453970591227213,0.09168621809708338,2656.6666666666665,2656.6666666666665,2656.6666666666665,False,6.964550406119949e-06
qaplib,sko72,sfw,1,3,0.0001,67157.33333333333,379.12999822693473,66256,0.013603799404330603,67029.25682887693,11.174567568517274,11.803886418956397,2.5787466256050795,0.13606603940327963,0.016343697601993435,60.0,60.0,60.0,False,0.0
qaplib,sko72,tos,1,3,0.0001,67484.66666666667,273.31219430452705,66256,0.018544232472027765,67392.49383611574,9.617254128630995,11.85942635916786,6.185079223152544,4.402918736139934,0.5377596323383587,5459.666666666667,5459.666666666667,5459.666666666667,False,1.0396383601180505e-05
qaplib,had12,sfw,1,3,0.0001,1682.0,2.8284271247461903,1652,0.018159806295399514,1602.8799936562793,3.1134180247749677,3.6716570267200628,2.3965872498407577,0.06679765383402507,0.015904574654983378,455.6666666666667,455.6666666666667,455.6666666666667,False,0.0
qaplib,had12,tos,1,3,0.0001,1682.0,2.8284271247461903,1652,0.018159806295399514,1602.7870673490331,3.097580334091692,3.6716570267200628,2.481093221410127,0.17380801836649576,0.06806773452366169,1487.0,1487.0,1487.0,False,3.867341490292448e-06
qaplib,tho30,sfw,1,3,0.0001,153888.66666666666,1423.8748384445717,149936,0.026362359050972794,152687.94424949578,6.7980350041797335,7.480882920885265,2.3448222944144805,0.036050875981648765,0.008473216032663891,141.33333333333334,141.33333333333334,141.33333333333334,False,0.0
qaplib,tho30,tos,1,3,0.0001,152628.66666666666,536.0655018019927,149936,0.017958773521146734,151786.36772834024,6.638636798141095,7.65917096804755,3.002885251742122,0.5197240511576334,0.07589897909220522,4992.333333333333,4992.333333333333,4992.333333333333,False,2.3732293854219474e-05
qaplib,nug25,sfw,1,3,0.0001,3790.6666666666665,27.535835237417846,3744,0.012464387464387425,3747.5255314961573,4.943519492245023,5.7509195168707565,2.119941848910883,0.02901005744934082,0.0006481297872771761,153.0,153.0,153.0,False,0.0
qaplib,nug25,tos,1,3,0.0001,3773.3333333333335,15.69146972791976,3744,0.007834757834757875,3722.953099465268,6.114978475505798,6.830954398842015,2.610850719992719,0.32469693819681805,0.05320879330806015,3724.3333333333335,3724.3333333333335,3724.3333333333335,False,5.8608555100440906e-05
qaplib,esc64a,sfw,1,3,0.0001,116.0,0.0,116,0.0,105.37778304287359,10.746810614423355,11.254550939876138,2.860487586246991,0.566133975982666,0.20997519572864126,1154.3333333333333,1154.3333333333333,1154.3333333333333,False,0.0
qaplib,esc64a,tos,1,3,0.0001,116.66666666666667,0.9428090415820634,116,0.00574712643678165,106.32912335565861,8.444266246801805,11.224259338385593,7.147685371684541,1.219915548960368,0.3130211903828628,6335.333333333333,6335.333333333333,6335.333333333333,False,2.8501153635882303e-05
qaplib,chr12a,sfw,1,3,0.0001,14373.333333333334,1252.3048972017777,9552,0.5047459519821329,11411.619163492314,4.349756503559205,4.756698308710764,1.6075877155900329,0.21328266461690268,0.03440913895775365,2296.3333333333335,2296.3333333333335,2296.3333333333335,False,0.0
qaplib,chr12a,tos,1,3,0.0001,12264.0,207.89099707939894,9552,0.28391959798994976,10432.827210484793,4.435760974914458,4.756698308710764,1.3637085126610284,0.14161173502604166,0.056268419821982406,2201.3333333333335,2201.3333333333335,2201.3333333333335,False,8.030790897775098e-05
