collection,test_name,solver,k,n,cost_mean,cost_stdev,cost_best_known,cost_relative_gap,cost_pre_rounded,norm_diff_best_prerounded,norm_diff_best_rounded,norm_diff_prerounded_rounded,time_mean,time_stdev,iters_best_mean,iters_min_of_k_mean,iters_mean_of_k_mean,max_iters_reached(1e5),birkhoff_infeasibility
qaplib,lipa90a,tos,1,1,365408.0,0.0,360630,0.013249036408507334,361692.23714715353,9.939055500833412,13.341664064126334,8.27977045594354,7.355493545532227,0.0,12937.0,12937.0,12937.0,False,2.9501121705357537e-06
qaplib,sko100b,sfw,1,1,155250.0,0.0,153890,0.00883748131782442,155208.5085976253,13.291416311689378,14.142135623730951,3.518312987441767,0.32207489013671875,0.0,55.0,55.0,55.0,False,0.0
qaplib,sko100b,tos,1,1,155208.0,0.0,153890,0.008564559100656313,155551.07388718892,10.511460723455459,13.711309200802088,7.959610639605872,3.7336270809173584,0.0,5637.0,5637.0,5637.0,False,7.26575761892171e-06
qaplib,scr12,sfw,1,1,42196.0,0.0,31410,0.34339382362305,33547.59406320523,4.293656813302567,4.69041575982343,1.864476462408485,0.008654356002807617,0.0,41.0,41.0,41.0,False,0.0
qaplib,scr12,tos,1,1,35476.0,0.0,31410,0.1294492199936326,29980.770576311857,3.3016632836899555,3.4641016151377544,1.681620542620882,0.22212719917297363,0.0,3482.0,3482.0,3482.0,False,9.005910922976103e-05
qaplib,tai40a,sfw,1,1,3231898.0,0.0,3139370,0.0294734293823283,3214199.771488708,8.370341677623571,8.831760866327848,2.3244613935592655,0.028243541717529297,0.0,107.0,107.0,107.0,False,0.0
qaplib,tai40a,tos,1,1,3258136.0,0.0,3139370,0.03783115720670071,3231935.1758859064,8.25852713311089,8.831760866327848,2.2181780133895184,0.47174715995788574,0.0,4975.0,4975.0,4975.0,False,1.0819915309595988e-05
qaplib,lipa60b,sfw,1,1,2520135.0,0.0,2520135,0.0,2520135.0,0.0,0.0,0.0,0.004500865936279297,0.0,9.0,9.0,9.0,False,0.0
qaplib,lipa60b,tos,1,1,2520135.0,0.0,2520135,0.0,2519598.5866101314,0.005090199344412833,0.0,0.005090199344412833,0.4322245121002197,0.0,2741.0,2741.0,2741.0,False,9.484525144540931e-05
qaplib,esc16e,sfw,1,1,28.0,0.0,28,0.0,25.580061711838223,5.259890944140056,5.477225575051661,1.093279522706143,0.11152243614196777,0.0,1167.0,1167.0,1167.0,False,0.0
qaplib,esc16e,tos,1,1,32.0,0.0,28,0.14285714285714285,27.14186223731047,4.4524014078833885,5.656854249492381,2.996238368462202,0.10397481918334961,0.0,1791.0,1791.0,1791.0,False,3.366317944369533e-05
qaplib,tai20a,sfw,1,1,742730.0,0.0,703482,0.05579105080158412,730494.7529025433,5.677229038024674,6.164414002968976,1.7002381124967538,0.0325627326965332,0.0,265.0,265.0,265.0,False,0.0
qaplib,tai20a,tos,1,1,752580.0,0.0,703482,0.06979283052018388,722366.6611043001,5.902486778001049,6.324555320336759,1.9900637178081446,0.26044201850891113,0.0,4269.0,4269.0,4269.0,False,4.672835886878958e-06
qaplib,esc32d,sfw,1,1,214.0,0.0,200,0.07,207.97195140557088,7.352465401090577,7.745966692414834,1.7745341060719906,0.0787506103515625,0.0,455.0,455.0,455.0,False,0.0
qaplib,esc32d,tos,1,1,208.0,0.0,200,0.04,198.48737791681907,6.107730198596935,7.3484692283495345,4.275678702889864,0.38065433502197266,0.0,4786.0,4786.0,4786.0,False,0.00015744357071430942
qaplib,bur26h,sfw,1,1,7559097.0,0.0,7098658,0.06486282336745904,7539410.15532546,6.314458860875437,7.0710678118654755,2.2539129462979792,0.0004971027374267578,0.0,3.0,3.0,3.0,False,0.0
qaplib,bur26h,tos,1,1,7596276.0,0.0,7098658,0.07010029219607425,7564970.986667475,5.242360627657184,6.928203230275509,4.529058558035112,7.103574514389038,0.0,100000.0,100000.0,100000.0,True,0.0014493444083748372
qaplib,lipa50b,sfw,1,1,1210244.0,0.0,1210244,0.0,1210244.0,0.0,0.0,0.0,0.0022401809692382812,0.0,6.0,6.0,6.0,False,0.0
qaplib,lipa50b,tos,1,1,1210244.0,0.0,1210244,0.0,1210117.4625093485,0.004779165843209452,0.0,0.004779165843209452,0.20451116561889648,0.0,1665.0,1665.0,1665.0,False,0.0001241045524180799
qaplib,rou12,sfw,1,1,235528.0,0.0,235528,0.0,230009.23473351024,1.2130445599798851,0.0,1.2130445599798851,0.022154808044433594,0.0,257.0,257.0,257.0,False,0.0
qaplib,rou12,tos,1,1,251266.0,0.0,235528,0.0668200808396454,239324.35470625834,4.039523247442077,4.69041575982343,1.8572389700313507,0.10341739654541016,0.0,1902.0,1902.0,1902.0,False,1.656356201284369e-05
qaplib,esc16f,sfw,1,1,0.0,0.0,0,0.0,0.0,5.656854249492381,5.656854249492381,0.0,0.00011754035949707031,0.0,1.0,1.0,1.0,False,0.0
qaplib,esc16f,tos,1,1,0.0,0.0,0,0.0,0.0,3.855099260082068,5.0990195135927845,3.7766199892133003,0.00011944770812988281,0.0,1.0,1.0,1.0,False,0.0
qaplib,tai15a,sfw,1,1,416470.0,0.0,388214,0.07278459818553684,395179.03435740806,4.952675981186313,5.477225575051661,2.0930148340359556,0.0437009334564209,0.0,418.0,418.0,418.0,False,0.0
qaplib,tai15a,tos,1,1,398922.0,0.0,388214,0.02758272499188592,385741.90660230233,5.099992704140469,5.477225575051661,1.454174551434676,0.1787891387939453,0.0,3088.0,3088.0,3088.0,False,1.3551883726750437e-05
qaplib,chr25a,sfw,1,1,4920.0,0.0,3796,0.29610115911485774,4729.809507554821,6.74858267409871,6.928203230275509,1.209997502106375,0.007464170455932617,0.0,52.0,52.0,52.0,False,0.0
qaplib,chr25a,tos,1,1,6116.0,0.0,3796,0.6111696522655427,5210.648887926565,5.9978511139520325,6.782329983125268,2.282492136408413,0.30605173110961914,0.0,4439.0,4439.0,4439.0,False,4.909808719855236e-05
qaplib,nug16a,sfw,1,1,1646.0,0.0,1610,0.02236024844720497,1617.9226506196885,4.6509609357108594,5.0990195135927845,1.64751644448464,0.023394107818603516,0.0,228.0,228.0,228.0,False,0.0
